Ime,Visina,Lokacija
Prižnica,383,"46,0443°N 13,5992°"
Tinjan,374,"45,56138°N 13,83504°"
Udornica Risnik,366,"45,6773°N 13,9665°"
Sveti Duh (Pedrovo),365,"45,8565°N 13,7642°"
Pomjan,360,"45,499°N 13,7553°"
Dom v Iškem Vintgarju,360,
Orlovo gnezdo (Veli Badin),359,"45,45944°N 13,91431°"
Divje jezero,350,"45,98219°N 14,0279°"
Veliko Cerje,343,"45,87242°N 13,61607°"
Sveti Lovrenc (Jezero),329,"45,974°N 14,4365°"
Sveti Kvirin na Paljevem,321,"46,0423°N 13,608°"
Dolina reke Glinščice / Val Rosandra,320,"45,6168°N 13,8692°"
Dolina Drage,310,"45,941°N 14,5477°"
Izvir Ljubljanice (Retovje),308,"45,9518°N 14,2971°"
Izvir Ljubljanice (Močilnik),305,"45,9543°N 14,2923°"
Lopar,303,"45,5079°N 13,8242°"
Jama Pečinka,295,"45,8613°N 13,6181°"
Iški morost,289,"45,9822°N 14,4794°"
Marezige,284,"45,5074°N 13,7987°"
Sveti Duh (Sveti Peter),253,"45,4634°N 13,6784°"
Sveti Štefan (Zanigrad),246,"45,5148°N 13,9068°"
Stari grad Vipava,241,"45,85058°N 13,96432°"
Lovsko zavetišče Kolombar,218,"45,5543°N 13,8256°"
Goli hrib,217,"45,552°N 13,8228°"
Črni vrh (Iskra),119,"45,5791°N 13,7466°"
Jurjev hrib,109,"45,5888°N 13,7283°"
Slap potoka Struga,105,"45,5528°N 13,8172°"
Vanganelsko jezero,55,"45,5101°N 13,7785°"
Strunjanski križ,53,"45,5373°N 13,6063°"
Debeli rtič,28,"45,5907°N 13,704°"
Ankaran,18,"45,5793°N 13,73722°"
Strunjanske soline,2,"45,52779°N 13,60454°"
